iter	Passed	Remaining
557	7898	6256
558	7911	6241
559	7925	6227
560	7938	6212
561	7952	6198
562	7965	6182
563	7979	6168
564	7996	6156
565	8012	6143
566	8024	6127
567	8036	6112
568	8050	6097
569	8063	6082
570	8075	6067
571	8089	6052
572	8101	6037
573	8114	6022
574	8126	6006
575	8140	5992
576	8154	5977
577	8168	5963
578	8180	5948
579	8194	5933
580	8208	5919
581	8221	5904
582	8233	5889
583	8246	5874
584	8259	5859
585	8271	5843
586	8284	5828
587	8297	5813
588	8310	5799
589	8322	5783
590	8334	5768
591	8349	5754
592	8363	5740
593	8375	5724
594	8389	5710
595	8402	5695
596	8414	5680
597	8428	5665
598	8441	5651
599	8454	5636
600	8467	5621
601	8479	5606
602	8493	5591
603	8505	5576
604	8518	5561
605	8531	5546
606	8545	5532
607	8558	5517
608	8571	5503
609	8586	5489
610	8599	5474
611	8612	5460
612	8625	5445
613	8638	5430
614	8652	5416
615	8665	5401
616	8677	5386
617	8689	5371
618	8703	5356
619	8716	5342
620	8729	5327
621	8742	5313
622	8756	5298
623	8770	5284
624	8783	5270
625	8796	5255
626	8809	5240
627	8822	5226
628	8837	5212
629	8848	5196
630	8861	5181
631	8873	5167
632	8886	5152
633	8899	5137
634	8912	5122
635	8924	5107
636	8937	5093
637	8950	5078
638	8962	5063
639	8976	5049
640	8989	5034
641	9003	5020
642	9016	5006
643	9029	4991
644	9042	4976
645	9053	4961
646	9066	4946
647	9079	4932
648	9092	4917
649	9104	4902
650	9117	4888
651	9130	4873
652	9141	4857
653	9154	4843
654	9166	4828
655	9179	4813
656	9192	4799
657	9206	4785
658	9219	4770
659	9231	4755
660	9243	4740
661	9256	4726
662	9269	4711
663	9282	4697
664	9295	4682
665	9308	4668
666	9321	4653
667	9333	4638
668	9347	4624
669	9360	4610
670	9372	4595
671	9386	4581
672	9400	4567
673	9415	4553
674	9429	4539
675	9442	4525
676	9455	4511
677	9467	4496
678	9481	4482
679	9494	4467
680	9507	4453
681	9520	4438
682	9532	4424
683	9544	4409
684	9558	4395
685	9572	4381
686	9585	4367
687	9598	4352
688	9612	4338
689	9625	4324
690	9638	4310
691	9651	4295
692	9664	4281
693	9677	4266
694	9689	4252
695	9702	4237
696	9715	4223
697	9728	4209
698	9740	4194
699	9754	4180
700	9767	4166
701	9780	4151
702	9793	4137
703	9805	4122
704	9821	4109
705	9833	4094
706	9846	4080
707	9858	4066
708	9871	4051
709	9883	4036
710	9896	4022
711	9908	4008
712	9921	3993
713	9933	3979
714	9946	3964
715	9960	3950
716	9974	3936
717	9986	3922
718	9999	3907
719	10013	3894
720	10026	3879
721	10039	3865
722	10052	3851
723	10065	3837
724	10079	3823
725	10091	3808
726	10104	3794
727	10116	3779
728	10128	3765
729	10141	3750
730	10153	3736
731	10166	3722
732	10179	3708
733	10192	3693
734	10205	3679
735	10220	3665
736	10234	3652
737	10247	3637
738	10260	3623
739	10273	3609
740	10286	3595
741	10299	3581
742	10311	3566
743	10324	3552
744	10337	3538
745	10349	3523
746	10363	3509
747	10375	3495
748	10387	3481
749	10399	3466
750	10413	3452
751	10428	3439
752	10441	3425
753	10453	3410
754	10467	3396
755	10480	3382
756	10493	3368
757	10506	3354
758	10519	3340
759	10532	3325
760	10545	3311
761	10558	3297
762	10572	3283
763	10585	3269
764	10597	3255
765	10610	3241
766	10624	3227
767	10639	3213
768	10652	3199
769	10665	3185
770	10677	3171
771	10690	3157
772	10703	3143
773	10715	3128
774	10727	3114
775	10740	3100
776	10753	3086
777	10766	3072
778	10779	3058
779	10792	3044
780	10805	3029
781	10818	3015
782	10830	3001
783	10843	2987
784	10861	2974
785	10880	2962
786	10895	2948
787	10908	2934
788	10920	2920
789	10932	2906
790	10944	2891
791	10957	2877
792	10970	2863
793	10982	2849
794	10996	2835
795	11009	2821
796	11021	2807
797	11036	2793
798	11050	2779
799	11064	2766
800	11077	2752
801	11090	2738
802	11103	2723
803	11115	2709
804	11128	2695
805	11141	2681
806	11154	2667
807	11167	2653
808	11179	2639
809	11191	2625
810	11205	2611
811	11217	2597
812	11230	2583
813	11243	2569
814	11256	2555
815	11270	2541
816	11284	2527
817	11297	2513
818	11310	2499
819	11322	2485
820	11329	2470
821	11343	2456
822	11355	2442
823	11367	2428
824	11380	2413
825	11393	2400
826	11405	2386
827	11417	2371
828	11430	2357
829	11442	2343
830	11456	2329
831	11470	2316
832	11485	2302
833	11498	2288
834	11511	2274
835	11524	2260
836	11537	2246
837	11550	2232
838	11564	2219
839	11577	2205
840	11589	2191
841	11602	2177
842	11615	2163
843	11627	2149
844	11640	2135
845	11653	2121
846	11667	2107
847	11680	2093
848	11694	2079
849	11707	2066
850	11721	2052
851	11734	2038
852	11747	2024
853	11759	2010
854	11772	1996
855	11785	1982
856	11798	1968
857	11813	1955
858	11826	1941
859	11839	1927
860	11852	1913
861	11865	1899
862	11878	1885
863	11891	1871
864	11905	1858
865	11918	1844
866	11932	1830
867	11945	1816
